procedimiento_numero,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,ues_nombre,plazo_ejecucion_obra,plazo_ejecucion_obra_tipo,latitud_1,longitud_1,latitud_2,longitud_2
63-0093-LPU21,63/0,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11939,63-0003-OBR22,"Puesta en valor, remodelación, reparación, ampliación y/o adecuación de los edificios JRConurbano II",4359,12,4,-34.91256,-57.95565,,
46-0154-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11884,46-0043-OBR22,"OBRA DE REPAVIMENTACIÓN, RUTA NACIONAL N° 9, TRAMO: CAMPANA – ROSARIO",1859,9,4,-34.15,-59.03,,
46-0155-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11883,46-0044-OBR22,"OBRA RUTA NACIONAL N° 5. AUTOPISTA MERCEDES - INICIO VARIANTE SUIPACHA, TRAMO: KM. 104 - KM 124.",1859,36,4,-34.695,-59.4615,,
46/4-0065-LPU22,46/4,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",1862,4,4,-32.871208,-68.816265,-32.830613,-68.806238
46-0001-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11970,46-0046-OBR22,OBRA MEJORATIVA Y DE MANTENIMIENTO SISTEMA MODULAR - RUTA NACIONAL N° 188,1859,18,4,-33.387165,-60.218767,-33.914478,-60.568716
46/18-0135-LPU22,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11975,46/18-0047-OBR22,DEFENSA MARGEN IZQUIERDO RÍO BERMEJO PTE. LAVALLE,1876,4,4,-25.650831,-60.128022,,
46-0258-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11967,46-0048-OBR22,"OBRAS DE SEGURIDAD VIAL, SEÑALAMIENTO HORIZONTAL CON MATERIAL TERMOPLÁSTICO, de la Red Vial Nacional",1773,24,4,-31.251252,-64.111964,,
74-0017-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,11979,74-0002-OBR22,Construcción de Muelle en Ria Ajo - Parque Nacional Campos del Tuyu,4369,6,4,-36.670833,-57.586944,,
46-0004-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11924,46-0049-OBR22,DUPLICACIÓN DE CALZADA RUTA NACIONAL N° 34 - Tramo: VARIANTE DE RAFAELA - EMP. RUTA PROVINCIAL N°13,1865,24,4,-31.123,-61.472,,
46-0190-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11976,46-0050-OBR22,"OBRA DE CONSERVACIÓN MEJORATIVA: ""EJECUCIÓN DE CARPETA Y BACHEOS"" - RUTA NACIONAL Nº 151",1878,8,4,-38.912191,-68.019946,-38.03759,-67.917556
46/3-0101-LPU22,46/3,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11984,46/3-0051-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA R.N. N° 157 - PROV. DE TUCUMAN - TRAMO: BELLA VISTA - S. M. DE TUCUM,1861,6,4,-27.00781,-65.293036,,
46-0025-LPU22,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11957,46-0052-OBR22,OBRA: DISTRIBUIDOR ACCESO A JUAN ANCHORENA – RUTA NACIONAL N°8 AUTOPISTA PILAR - PERGAMINO,1859,8,4,-33.926,-60.385,,
46-0262-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11988,46-0053-OBR22,VIALIDAD,1869,8,4,-27.718103,-67.157028,-27.710315,-67.108738
74-0014-LPU22,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,11987,74-0003-OBR22,Construcción de Galpón / Taller (ICE) - Parque Nacional Ciervos de los Pantanos,4369,8,4,-34.224722,-58.893333,,
501-0013-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,12008,501-0006-OBR22,LHN CCD Faro de Punta Mogotes,4694,8,4,-38.091728,-57.544887,,
501-0023-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,12007,501-0007-OBR22,MUSEO HISTÓRICO SARMIENTO. Nuevo espacio gastronómico y jardines,4694,9,4,-34.561013,-58.45658,,
46-0185-LPU21,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11951,46-0054-OBR22,MALLA RN11D. RUTA NACIONAL N°11 - PROVINCIAS DE SANTA FE Y CHACO.,1865,72,4,-27.466306,-59.04616,-29.096316,-59.641905
501-0031-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13027,501-0008-OBR22,"MAS Etapa III ""CONSTRUCCIÓN Y REHABILITACIÓN DE CORREDORES URBANOS EN EL GRAN BUENOS AIRES"".",4694,10,4,-34.52812,-58.473816,,
501-0031-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13025,501-0009-OBR22,"MAS Etapa III ""CONSTRUCCIÓN Y REHABILITACIÓN DE CORREDORES URBANOS EN EL GRAN BUENOS AIRES"".",4694,10,4,-34.52812,-58.473816,,
501-0017-LPU22,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,13032,501-0010-OBR22,CONSERVACIÓN Y RESTAURACIÓN DEL EDIFICIO PARA LA NUEVA SEDE INSTITUCIONAL UNAB,4694,18,4,-34.796055,-58.391752,,
