procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,procedimiento_estado,procedimiento_objeto,procedimiento_tipo,solicitud_de_contratacion_numero,financiamiento_fuente_prev,sistema_contratacion,presupuesto_oficial_monto,pliego_condiciones_generales_numero_gedo,pliego_condiciones_particulares_numero_gedo,publicacion_contratar_fecha,publicacion_bora_fecha,publicacion_cantidad_dias,consultas_inicio_fecha,consultas_fin_fecha
46/3-0101-LPU22,OBRA DE CONSERVACIÓN MEJORATIVA R.N. N° 157 - PROV. DE TUCUMAN - TRAMO: BELLA VISTA - S. M. DE TUCUM,46/3,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,EE-11391,Adjudicado,OBRA DE CONSERVACIÓN MEJORATIVA R.N. N° 157  PROVINCIA DE TUCUMAN  TRAMO: BELLA VISTA - SAN MIGUEL DE TUCUMAN  Sección: Pr. 1240.40 a 1241.70 (García Fernández) - Sección: Pr. 1246.86 a 1248.58 (Los Aguirre),Licitación Pública,46/3-171-SCO22,1.1,Unidad de medida;,88070000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-47275372-APN-DTUC#DNV,2022-05-20 0:01:00,2022-05-20 0:00:00,15,2022-05-20 9:00:00,2022-06-16 23:59:00
501-0004-LPU22,ACUEDUCTO SAN JAVIER – TRAMO SAN JAVIER TOSTADO,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11326,Adjudicado,"Establecer las condiciones para llevar a cabo la Licitación Pública Nacional de la obra denominada “ACUEDUCTO SAN JAVIER – Tramo San Javier Tostado”, situada en la Provincia de SANTA FE.",Licitación Pública,501-39-SCO22,,Ajuste Alzado; Unidad de medida;,27700695713.31,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-42937578-APN-DCYS#MOP,2022-05-21 0:01:00,,,2022-05-23 8:00:00,2022-10-12 17:00:00
501-0008-LPU21,AMPLIACIÓN DE LA CAPACIDAD DEL RÍO SALADO TRAMO IV ETAPA II,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11165,Disponible Para Adjudicar,AMPLIACIÓN DE LA CAPACIDAD DEL RÍO SALADO TRAMO IV ETAPA II,Licitación Pública,501-77-SCO21,,Ajuste Alzado; Unidad de medida;,12650451948.57,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-39678219-APN-DCYS#MOP,2022-05-21 0:01:00,,,2022-05-23 8:00:00,2022-09-22 17:00:00
46-0055-LPU22,MALLA 405-A. RUTA NACIONAL N° 89,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11359,Adjudicado,"OBRA: MALLA 405-A. RUTA NACIONAL N° 89, PROVINCIAS DEL CHACO Y SANTIAGO DEL ESTERO",Licitación Pública,46-382-SCO22,,Ajuste Alzado;,4566313014.95,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-32391202-APN-LYC#DNV,2022-05-23 0:01:00,2022-05-23 0:00:00,15,2022-05-23 9:00:00,2022-06-22 23:59:00
501-0013-LPU22,LHN CCD Faro de Punta Mogotes,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11350,Adjudicado,"Establecer las condiciones para llevar a cabo la Licitación Pública Nacional de la obra denominada “LHN CCD Faro de Punta Mogotes”, ex Centro Clandestino de Detención, situada en Avenida de los Trabajadores 5700, Mar del Plata, Partido de GENERAL PUEYRREDÓN, Provincia de BUENOS AIRES",Licitación Pública,501-27-SCO22,,Ajuste Alzado;,54224818.25,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-42986310-APN-DCYS#MOP,2022-05-23 23:01:00,,,2022-05-24 8:00:00,2022-07-22 17:00:00
46-0078-LPU22,OBRA DE CONSERVACION MEJORATIVA - RUTA NACIONAL N° 3 - PROVINCIA DE SANTA CRUZ,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11373,Dejado Sin Efecto,"OBRA DE CONSERVACIÓN MEJORATIVA: BACHEO, FRESADO Y CONSTRUCCIÓN DE CARPETA CON MEZCLA ASFÁLTICA EN CALIENTE"", RUTA NACIONAL N° 3, TRAMO: PT. S. JULIÁN RP. 25 - CMTE. P. BUENA RN. 288, SECCIÓN: KM. 2304,60 - KM. 2371,05  PROVINCIA DE SANTA CRUZ""",Licitación Pública,46-512-SCO22,1.1,Unidad de medida;,515784000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-37676005-APN-LYC#DNV,2022-05-24 0:01:00,2022-05-24 0:00:00,15,2022-05-24 9:00:00,2022-06-24 23:59:00
501-0021-LPU21,TV PÚBLICA-FACHADA,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11243,Fracasado,"Rehabilitación completa de fachada mediante la ejecución de los siguientes trabajos:     a)Rehabilitación del descanso, barandas y escalera metálica de acceso a terraza.  b)Rehabilitación de barandas de terraza.  c)Encuentro entre solados de terraza y escalera de acceso a la misma.  d)Desarmado de estructuras y cierres de chapa colocados entre la fachada y la rampa.  e)Rehabilitación de la marquesina.  f)Cubierta vidriada de transición entre la fachada y la marquesina sobre el acceso principal.  g)Reposición de faltantes, reubicación de piezas y tratamiento general de juntas y terminaciones de piezas de granito en rampa, escalera y solado de acceso.  h) Reparación del entorno afectado.",Licitación Pública,501-8-SCO22,,Ajuste Alzado; Unidad de medida;,51074510.77,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-37791023-APN-DCYS#MOP,2022-05-25 0:01:00,2022-05-26 0:00:00,15,2022-05-26 10:00:00,2022-07-11 17:00:00
501-0009-LPU22,Plan de Infraestructura Obras Hidráulicas de Manejo de Ingresos de Excedentes del Río Pilcomayo,501/0,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,EE-11330,Disponible Para Adjudicar,Plan de Infraestructura Obras Hidráulicas de Manejo de Ingresos de Excedentes del Río Pilcomayo,Licitación Pública,501-28-SCO22,,Otros,105610172.5,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-49404954-APN-DCYS#MOP,2022-06-01 0:01:00,,,2022-06-01 10:00:00,2022-09-23 16:00:00
46-0082-LPU22,OBRA: SISTEMA C.Re.Ma MALLA Nº 632.,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,EE-11375,Con Documento Contractual,"OBRA: SISTEMA C.Re.Ma MALLA N° 632 - PROVINCIA DEL CHUBUT.  RUTA NACIONAL N° 40  TRAMO: ESTANCUA LA PAULINA - EMPALME RUTA NACIONAL N° 259  SECCIÓN: KM. 1637,05 - KM. 1762,52.  RUTA NACIONAL N° 259  TRAMO: EMPALME RUTA NACIONAL N°40 - EMPALME RUTA PROVINCIAL N°17  SECCIÓN: KM. 0,00 - KM. 42,87  ",Licitación Pública,46-526-SCO22,1.1,Ajuste Alzado;,3222444173.59,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-43306838-APN-LYC#DNV,2022-06-01 0:01:00,2022-06-01 0:00:00,15,2022-06-01 9:00:00,2022-06-30 23:59:00
46/13-0108-LPU22,"OBRA DE CONSERVACIÓN MEJORATIVA RN N° 40 - PROVINCIA DEL CHUBUT. KM. 1324,69 - KM. 1367,81",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EE-11394,Adjudicado,"OBRA DE CONSERVACIÓN MEJORATIVA “EJECUCION DE BACHEO SUPERFICIAL, SELLADO DE FISURAS Y MICROAGLOMERADO EN FRIO”.  RUTA: NACIONAL Nº 40 - PROVINCIA DEL CHUBUT.  TRAMO: LTE. SANTA CRUZ/CHUBUT – EMP. RN 26 (EX. RP 20)  SECCIÓN: KM. 1324,69 (LTE. SANTA CRUZ/CHUBUT) - KM. 1367,81",Licitación Pública,46/13-541-SCO22,1.1,Unidad de medida;,173475000.0,IF-2019-68464597-APN-DNCOPRCYFC#JGM,PLIEG-2022-50437945-APN-DCHU#DNV,2022-06-02 0:01:00,2022-06-02 0:00:00,15,2022-06-02 7:00:00,2022-06-24 11:00:00
