procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,procedimiento_estado,procedimiento_objeto,procedimiento_tipo,solicitud_de_contratacion_numero,financiamiento_fuente_prev,sistema_contratacion,presupuesto_oficial_monto,pliego_condiciones_generales_numero_gedo,pliego_condiciones_particulares_numero_gedo,publicacion_contratar_fecha,publicacion_bora_fecha,publicacion_cantidad_dias,consultas_inicio_fecha,consultas_fin_fecha
452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10876,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,Licitación Pública,452-6-SCO17,1.5,Ajuste Alzado; Unidad de medida;,596322129.52,PLIEG-2017-1484136-APN-DCC#MEM,PLIEG-2017-1589716-APN-DCC#MEM,2017-02-08 8:01:01,2017-02-08 8:00:00,15,2017-02-08 10:00:00,2017-03-08 23:59:00
452-0003-LPU17,Adquisición de motocompresores,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10877,Adjudicado,Adquisición de motocompresores para el Proyecto:  “AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL”,Licitación Pública,452-8-SCO17,1.5,Unidad de medida;,160000000.0,PLIEG-2017-1484136-APN-DCC#MEM,PLIEG-2017-1714986-APN-DCC#MEM,2017-02-17 8:01:00,2017-02-17 8:00:00,15,2017-02-17 9:00:00,2017-03-21 20:00:00
452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10888,Adjudicado,Contratación y ejecución del montaje de cañerías para la construcción del  Proyecto denominado “AMPLIACIÓN SISTEMA DE TRANSPORTE Y  DISTRIBUCIÓN DE GAS NATURAL” bajo el régimen de la Ley de Obras  Públicas N° 13.064,Licitación Pública,452-18-SCO17,1.5,Ajuste Alzado;,2573871285.21,PLIEG-2017-6935464-APN-SSIE#MEM,PLIEG-2017-7544358-APN-SSIE#MEM,2017-05-03 8:01:00,2017-06-16 9:00:00,2,2017-05-03 9:00:00,2017-06-02 18:00:00
452-0005-LPU17,Contratación y ejecución del Montaje de Plantas Compresoras.,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10892,Dejado Sin Efecto,Contratación y ejecución del Montaje de Plantas Compresoras.,Licitación Pública,452-24-SCO17,1.5,Ajuste Alzado;,282848072.0,PLIEG-2017-8363693-APN-SSIE#MEM,PLIEG-2017-9191117-APN-DGAF#MEM,2017-06-12 10:01:01,2017-06-12 10:00:00,15,2017-06-12 12:00:00,2017-07-10 18:00:00
82-0001-LPU17,Construcción de Jardines de Infantes Zona Patagonia Sur,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10884,Fracasado,"Construcción de Jardines de Infantes Zona Patagonia Sur, con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su competo cumplimiento",Licitación Pública,82-11-SCO17,1.1,Ajuste Alzado;,108270984.65,PLIEG-2017-3659531-APN-DGAYGF#ME,PLIEG-2017-9311183-APN-DGAYGF#ME,2017-07-05 9:01:00,2017-07-05 9:00:00,15,2017-07-05 10:00:00,2017-10-24 18:00:00
82-0002-LPU17,Construcción de Jardines Zona Centro Sur,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10886,Adjudicado,"82-0002-LPU17: “Construcción de Jardines de Infantes (ZONA CENTRO SUR) con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su completo cumplimiento”",Licitación Pública,82-14-SCO17,1.1,Ajuste Alzado;,198513352.02,,PLIEG-2017-9311217-APN-DGAYGF#ME,2017-07-05 9:01:01,2017-07-05 9:00:00,15,2017-07-07 10:00:00,2017-10-24 18:00:00
82-0004-LPU17,CONSTRUCCION DE JARDINES DE INFANTES ZONA CENTRO NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10887,Con Documento Contractual,"82-0004-LPU17: Construcción de Jardines de Infantes (ZONA CENTRO NORTE) con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su completo cumplimiento",Licitación Pública,82-13-SCO17,1.1,Ajuste Alzado;,218363922.48,PLIEG-2017-3659531-APN-DGAYGF#ME,PLIEG-2017-9311197-APN-DGAYGF#ME,2017-07-06 9:01:00,2017-07-06 9:00:00,15,2017-07-06 10:00:00,2017-10-24 18:00:00
81-0013-LPU17,HOSPITAL DR. ALEJANDRO POSADAS - HAEDO - PARTIDO DE MORÓN - PROVINCIA DE BUENOS AIRES,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10879,Desierto,HOSPITAL DR. ALEJANDRO POSADAS - HAEDO - PARTIDO DE MORÓN - PROVINCIA DE BUENOS AIRES,Licitación Pública,81-38-SCO17,,Ajuste Alzado;,167414965.5,PLIEG-2017-11087642-APN-DNA#MI,PLIEG-2017-11087820-APN-DNA#MI,2017-07-18 9:01:01,2017-07-19 9:00:00,15,2017-07-19 10:00:00,2017-08-18 12:00:00
81-0035-LPU17,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10897,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,Licitación Pública,81-133-SCO17,,Ajuste Alzado; Unidad de medida;,1452761728.31,PLIEG-2017-19504537-APN-SSRH#MI,PLIEG-2017-19504521-APN-SSRH#MI,2017-09-14 9:01:00,2017-09-14 9:00:00,15,2017-09-14 9:30:00,2017-11-30 13:00:00
452-0007-LPU17,Inspección de Obra y Control de Calidad de Suministros.,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10898,Adjudicado,Inspección de Obra y Control de Calidad de Suministros para el proyecto: “AMPLIACIÓN DEL SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS  NATURAL”.,Licitación Pública,452-39-SCO17,1.5,Ajuste Alzado;,91290149.15,PLIEG-2017-14083018-APN-SSIE#MEM,PLIEG-2017-20028441-APN-SSIE#MEM,2017-09-29 8:01:00,2017-09-29 8:00:00,15,2017-09-29 9:00:00,2017-10-26 18:00:00
81-0037-LPU17,SALADO IV - TRAMOS 3 Y 4,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10903,Adjudicado,"La presente licitación se enmarca en el Plan Maestro Integral de la Cuenca del Río Salado, cuyo objetivo es el de superar los factores limitantes de la producción y el desarrollo de la región en particular reducir los impactos negativos que representan las inundaciones y es la continuación de otros tramos ya ejecutados entre la desembocadura y el Puente de la Ruta Nacional 205 (Progresivas 346.400).",Licitación Pública,81-151-SCO17,,Ajuste Alzado; Unidad de medida;,8241725525.33,PLIEG-2017-21885673-APN-DPH#MI,PLIEG-2017-21887153-APN-DPH#MI,2017-09-29 9:01:00,2017-09-29 9:00:00,15,2017-09-29 9:30:00,2018-03-26 13:00:00
81-0017-LPU17,"RESTAURACIÓN Y PUESTA EN VALOR EDIFICIO DE CORREOS DE SANTA FE""""",81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10883,Fracasado,"RESTAURACIÓN Y PUESTA EN VALOR EDIFICIO DE CORREOS DE SANTA FE""""",Licitación Pública,81-153-SCO17,1.1,Ajuste Alzado;,54398920.51,PLIEG-2017-15246533-APN-DNA#MI,PLIEG-2017-15526113-APN-DNA#MI,2017-10-04 0:01:00,2017-10-04 0:00:00,15,2017-10-04 1:00:00,2017-11-21 23:59:00
81-0040-LPU17,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10904,Adjudicado,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,Licitación Pública,81-36-SCO17,1.1,Ajuste Alzado;,140269650.56,PLIEG-2017-17481795-APN-DNA#MI,PLIEG-2017-18591485-APN-DNA#MI,2017-10-04 0:01:01,2017-10-04 0:00:00,15,2017-10-04 1:00:00,2017-11-03 23:00:00
81-0011-LPU17,PASO FRONTERIZO DE CONCORDIA - SALTO - PUENTE INTERNACIONAL SALTO GRANDE - PROVINCIA DE ENTRE RÍOS,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10878,Pendiente Afectación,PASO FRONTERIZO DE CONCORDIA - SALTO - PUENTE INTERNACIONAL SALTO GRANDE - PROVINCIA DE ENTRE RÍOS,Licitación Pública,81-33-SCO17,1.1,Ajuste Alzado;,21269760.05,PLIEG-2017-11028659-APN-DNA#MI,PLIEG-2017-11028807-APN-DNA#MI,2017-10-23 1:01:00,2017-10-23 9:00:00,15,2017-10-23 10:00:00,2017-11-17 15:00:00
23-0026-LPU17,Remodelacion 2ds. Etapa Casa de Gobiero,23/0,23/000 - Dirección General de Administración - SG,301,301 - Secretaria General de la Presidencia de la Nación,EE-10907,Adjudicado,Remodelacion 2ds. Etapa Casa de Gobiero,Licitación Pública,23-157-SCO17,1.1;1.5,Ajuste Alzado;,225133386.0,PLIEG-2017-25095696-APN-DPYS#SGP,PLIEG-2017-25486305-APN-DPYS#SGP,2017-10-27 8:01:00,2017-10-27 8:00:00,15,2017-10-27 8:01:00,2017-12-05 8:00:00
23-0015-LPU17,Demolición dependencias Residencia Presidencial de Olivos.,23/0,23/000 - Dirección General de Administración - SG,301,301 - Secretaria General de la Presidencia de la Nación,EE-10895,Adjudicado,Demolición dependencias Residencia Presidencial de Olivos.,Licitación Pública,23-85-SCO17,1.1,Ajuste Alzado;,1260820.0,PLIEG-2017-25095696-APN-DPYS#SGP,PLIEG-2017-22935696-APN-DPYS#SGP,2017-10-31 8:01:00,2017-10-31 8:00:00,15,2017-10-31 8:01:00,2017-12-05 12:00:00
82-0018-LPU17,Construcción de Jardines de Infantes Zona Patagonia Norte,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10899,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Patagonia Norte,Licitación Pública,82-52-SCO17,1.1,Ajuste Alzado;,216888878.78,PLIEG-2017-21397948-APN-DGAYGF#ME,PLIEG-2017-21397919-APN-DGAYGF#ME,2017-10-31 9:01:00,2017-10-31 9:00:00,15,2017-10-31 10:00:00,2018-01-02 18:00:00
82-0019-LPU17,Construcción de Jardines de Infantes Zona Cuyo y Córdoba,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10900,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Cuyo y Córdoba,Licitación Pública,82-51-SCO17,1.1,Ajuste Alzado;,250615587.31,PLIEG-2017-21397948-APN-DGAYGF#ME,PLIEG-2017-21397930-APN-DGAYGF#ME,2017-10-31 9:01:00,2017-10-31 9:00:00,15,2017-10-31 10:00:00,2018-01-02 18:00:00
82-0020-LPU17,Construcción de Jardines de Infantes Zona Centro Sur,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10901,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Centro Sur,Licitación Pública,82-50-SCO17,1.1,Ajuste Alzado;,127447124.99,PLIEG-2017-21397948-APN-DGAYGF#ME,PLIEG-2017-21413789-APN-DGAYGF#ME,2017-10-31 9:01:00,2017-10-31 9:00:00,15,2017-10-31 10:00:00,2018-01-02 18:00:00
82-0021-LPU17,Construcción de Jardines de Infantes Zona Centro Norte,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10902,Dejado Sin Efecto,Construcción de Jardines de Infantes Zona Centro Norte,Licitación Pública,82-49-SCO17,1.1,Ajuste Alzado;,223045604.13,PLIEG-2017-21397948-APN-DGAYGF#ME,PLIEG-2017-21397940-APN-DGAYGF#ME,2017-10-31 9:01:00,2017-10-31 9:00:00,15,2017-10-31 10:00:00,2018-01-02 18:00:00
82-0029-LPU17,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA CUYO  Y CORDOBA,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10905,Adjudicado,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA CUYO  Y CORDOBA,Licitación Pública,82-74-SCO17,1.1,Ajuste Alzado;,207044691.94,PLIEG-2017-24599203-APN-DGAYGF#ME,PLIEG-2017-27275716-APN-DGAYGF#ME,2017-11-24 9:01:00,2017-11-24 9:00:00,15,2017-11-24 10:00:00,2017-12-27 18:00:00
82-0030-LPU17,Construcción de Jardines de Infantes. Zona CENTRO NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10906,Adjudicado,Construcción de Jardines de Infantes. Zona CENTRO NORTE,Licitación Pública,82-73-SCO17,1.1,Ajuste Alzado;,181939157.89,PLIEG-2017-24599203-APN-DGAYGF#ME,PLIEG-2017-27275740-APN-DGAYGF#ME,2017-11-24 9:01:00,2017-11-24 9:00:00,15,2017-11-24 10:00:00,2017-12-27 18:00:00
451-0022-LPU17,"“Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Ciudad de Mar del Plata”",451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EE-10914,Adjudicado,"“Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Ciudad de Mar del Plata”",Licitación Pública,451-101-SCO17,1.1;1.5,Unidad de medida;,149965535.0,PLIEG-2017-30732923-APN-MTR,PLIEG-2017-30734894-APN-MTR,2017-12-06 8:01:00,2017-12-06 8:00:00,10,2017-12-06 8:30:00,2017-12-26 17:00:00
451-0021-LPU17,READECUACIÓN DE LA PLAYA DE ESTACIONAMIENTO EN EL EDIFICIO DE LA SSPyVN,451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EE-10913,Publicado,READECUACIÓN DE LA PLAYA DE ESTACIONAMIENTO EN EL EDIFICIO DE LA SSPyVN,Licitación Pública,451-98-SCO17,1.1,Ajuste Alzado;,13439649.08,PLIEG-2017-30481415-APN-MTR,PLIEG-2017-30482160-APN-MTR,2017-12-13 8:01:00,2017-12-13 8:00:00,15,2017-12-13 8:30:00,2018-01-25 17:00:00
452-0008-LPU17,Contratación y Ejecución de Montaje de Plantas Compresoras,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10909,Adjudicado,Contratación y Ejecución de Montaje de Plantas Compresoras,Licitación Pública,452-49-SCO17,1.5,Ajuste Alzado; Unidad de medida;,360229309.0,PLIEG-2017-24810072-APN-DNPIEE#MEM,PLIEG-2017-26274324-APN-SSIE#MEM,2017-12-14 8:01:00,2018-01-25 8:00:00,2,2017-12-14 8:30:00,2018-01-19 18:00:00
81/9-0047-LPU17,Red Hidrológica Nacional- Período 2018-2023,81/9,81/9 - Recursos Hídricos,325,325 - Ministerio del Interior,EE-10919,Adjudicado,"Se busca dar continuidad a la RHN y su fortalecimiento incorporando modernización del instrumental de estaciones, monitoreo de la RHN, interoperabilidad de los datos de la base de datos; y ampliando la RHN; contemplando la inclusión de estaciones freatimétricas.  La obra que se propicia tiene por objeto la provisión e instalación de instrumental telemétrico en de la Red Hidrológica Nacional, así como la construcción de obras civiles complementarias necesarias para su incorporación; y la adquisición de los Datos hidrometeorológicos y de calidad de agua, previéndose para ello la operación y mantenimiento de la Red Hidrológica Nacional bajo la dependencia directa de esta Subsecretaria, contemplando además la realización de estudios hidrológicos complementarios, y la sistematización e incorporación de todos los registros de la base de datos a una Estación Central.  ",Licitación Pública,81-175-SCO17,,Ajuste Alzado; Unidad de medida;,659162914.0,PLIEG-2017-30452122-APN-DNCYPRH#MI,PLIEG-2017-31396644-APN-DNCYPRH#MI,2017-12-22 9:01:00,2017-12-22 9:00:00,15,2017-12-22 9:30:00,2018-02-02 13:00:00
82-0035-LPU17,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA PATAGONIA NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10910,Dejado Sin Efecto,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA PATAGONIA NORTE,Licitación Pública,82-79-SCO17,1.1,Ajuste Alzado;,260171779.37,PLIEG-2017-24599203-APN-DGAYGF#ME,PLIEG-2017-28411025-APN-DC#ME,2018-01-05 9:01:00,2018-01-05 9:00:00,15,2018-01-05 10:00:00,2018-02-02 18:00:00
451-0002-LPU18,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EE-10920,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",Licitación Pública,451-2-SCO18,1.1;1.5,Unidad de medida;,3800408698.3,PLIEG-2018-1889428-APN-MTR,PLIEG-2018-1891166-APN-MTR,2018-01-16 12:01:01,2018-01-16 12:10:00,10,2018-01-16 12:05:00,2018-01-31 17:00:00
82-0036-LPU17,Construcción de Jardines de Infantes Zona Cuyo y Cordoba,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10911,Con_Documentos_Contractuales_Autorizados,Construcción de Jardines de Infantes Zona Cuyo y Cordoba,Licitación Pública,82-81-SCO17,1.1,Ajuste Alzado;,555570729.48,PLIEG-2017-24599203-APN-DGAYGF#ME,PLIEG-2017-28481994-APN-DC#ME,2018-01-31 9:01:01,2018-01-31 9:00:00,15,2018-01-31 10:00:00,2018-02-27 18:00:00
451-0004-LPU18,METROBÚS CIUDAD DE NEUQUÉN,451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EE-10921,Adjudicado,METROBÚS CIUDAD DE NEUQUÉN,Licitación Pública,451-6-SCO18,1.5,Ajuste Alzado;,196890485.37,PLIEG-2018-5292982-APN-SECOT#MTR,PLIEG-2018-5293301-APN-SECOT#MTR,2018-02-02 8:01:00,2018-02-02 8:00:00,15,2018-02-02 8:01:00,2018-03-13 17:00:00
46/18-0006-LPU18,BACHEO SUPERFICIAL CON MEZCLA ASFALTICA EN CALIENTE,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,EE-10925,Dejado Sin Efecto,BACHEO SUPERFICIAL CON MEZCLA ASFALTICA EN CALIENTE,Licitación Pública,46/18-590-SCO18,1.5,Unidad de medida;,14127700.0,PLIEG-2018-14649044-APN-DCHA#DNV,PLIEG-2018-14649044-APN-DCHA#DNV,2018-04-12 7:01:01,2018-04-12 7:00:00,15,2018-04-12 8:00:00,2018-05-02 13:00:00
82-0003-LPU18,Construccion de Jardines de Infantes Zona - PATAGONIA SUR,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10922,Dejado Sin Efecto,Construccion de Jardines de Infantes Zona - PATAGONIA SUR,Licitación Pública,82-41-SCO18,1.5,Ajuste Alzado;,176861049.88,PLIEG-2018-19088389-APN-DGAYGF#ME,PLIEG-2018-14217128-APN-DC#ME,2018-05-14 9:01:01,2018-05-14 9:00:00,15,2018-05-14 10:00:00,2018-06-12 18:00:00
82-0004-LPU18,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA CENTRO NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10923,Dejado Sin Efecto,CONSTRUCCION DE JARDINES DE INFANTES  - ZONA CENTRO NORTE,Licitación Pública,82-39-SCO18,1.5,Ajuste Alzado;,106429053.6,PLIEG-2018-19088389-APN-DGAYGF#ME,PLIEG-2018-14217232-APN-DC#ME,2018-05-14 9:01:01,2018-05-14 9:00:00,15,2018-05-14 10:00:00,2018-06-13 18:00:00
82-0005-LPU18,Construcción de Jardines de Infantes ZONA: PATAGONIA NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10924,Dejado Sin Efecto,Construcción de Jardines de Infantes ZONA: PATAGONIA NORTE,Licitación Pública,82-40-SCO18,1.5,Ajuste Alzado;,67045258.12,PLIEG-2018-19088389-APN-DGAYGF#ME,PLIEG-2018-19317347-APN-DGAYGF#ME,2018-05-14 9:01:01,2018-05-14 9:00:00,15,2018-05-14 10:00:00,2018-06-14 18:00:00
82-0010-LPU18,Construccion de Jardines de Infantes Zona Metropolitana,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10929,Adjudicado,Construccion de Jardines de Infantes Zona Metropolitana,Licitación Pública,82-48-SCO18,1.1,Ajuste Alzado;,59171346.04,PLIEG-2018-27282177-APN-DGAYGF#ME,PLIEG-2018-21803907-APN-DC#ME,2018-06-22 9:01:00,2018-06-22 9:00:00,15,2018-06-22 10:00:00,2018-07-19 18:00:00
451-0011-LPU18,METROBUS QUILMES,451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EE-10930,Adjudicado,"El objeto de la presente Licitación es contratar la construcción de la Obra:  METROBUS QUILMES”. La Obra “METROBUS QUILMES” consistirá en la ejecución de los paradores en la Av. Quilmes y su continuación Av. Calchaquí, en un primer tramo entre las calles Lynch y Rodríguez Peña y en un segundo tramo entre las calles Triunvirato y Av. Hipólito Yrigoyen, en los Partidos de Quilmes y Florencio Varela.""",Licitación Pública,451-23-SCO18,1.5,Ajuste Alzado;,280940418.58,PLIEG-2018-25218167-APN-SECOT#MTR,PLIEG-2018-26209913-APN-DCTYAOPT#MTR,2018-07-17 12:31:00,2018-07-17 12:30:00,10,2018-07-17 12:35:00,2018-08-07 17:00:00
39-0016-LPU18,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EE-10936,Adjudicado,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,Licitación Pública,39-90-SCO18,,Ajuste Alzado;,36900000.0,PLIEG-2018-37270236-APN-DAFI#PNA,PLIEG-2018-37270236-APN-DAFI#PNA,2018-08-10 8:01:00,2018-08-10 8:00:00,15,2018-08-10 8:05:00,2018-09-20 13:00:00
279-0004-LPU18,Reparación parcial de la cubierta y reacondicionamiento del sector sanitario de UOSP San Fernando,279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EE-10939,Desierto,"REPARACIÓN PARCIAL DE LA CUBIERTA DE TEJAS COLONIALES Y REACONDICIONAMIENTO DEL SECTOR SANITARIO DEL EDIFICIO PERTENECIENTE A LA UOSP SAN FERNANDO, UBICADO EN EL AEROPUERTO INTERNACIONAL DE SAN FERNANDO, PARTIDO DE SAN FERNANDO, PROVINCIA DE BUENOS AIRES. ",Licitación Pública,279-29-SCO18,,Ajuste Alzado;,689700.0,PLIEG-2018-45504048-APN-DDA#PSA,,2018-09-26 8:01:00,2018-09-26 8:00:00,15,2018-09-26 8:05:00,2018-10-11 11:30:00
279-0005-LPU18,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EE-10940,Adjudicado,"IMPERMEABILIZACIÓN Y REPARACIÓN INTEGRAL DE LA CUBIERTA DEL EDIFICIO UOESA, SITO EN PREDIO IFE, EZEIZA BUENOS AIRES",Licitación Pública,279-31-SCO18,,Ajuste Alzado;,2299000.0,PLIEG-2018-44887314-APN-DDA#PSA,,2018-09-26 8:01:00,2018-09-26 8:00:00,15,2018-09-26 8:05:00,2018-10-11 12:00:00
279-0006-LPU18,"CONSTRUCCIÓN DE UN CERRAMIENTO PERIMETRAL Y PORTÓN DE ACCESO PARA “PUESTO LIMA”, UBICADO EN EZEIZA.",279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EE-10941,Disponible Para Adjudicar,"CONSTRUCCIÓN DE UN CERRAMIENTO PERIMETRAL Y PORTÓN DE ACCESO PARA “PUESTO LIMA”, UBICADO EN EZEIZA.",Licitación Pública,279-30-SCO18,,Ajuste Alzado;,1089000.0,PLIEG-2018-44764506-APN-DDA#PSA,,2018-09-26 8:01:00,2018-09-26 8:00:00,15,2018-09-26 8:05:00,2018-10-11 12:30:00
74-0013-LPU18,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,EE-10943,Adjudicado,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,Licitación Pública,74-126-SCO18,,Ajuste Alzado;,66400137.33,RS-2018-43708673-APN-D#APNAC,,2018-09-26 9:01:00,2018-09-26 9:00:00,15,2018-09-27 9:00:00,2018-10-26 9:00:00
39-0030-LPU18,"AMPLIACION Y REMODELACION DE BAÑOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EE-10945,Adjudicado,"AMPLIACION Y REMODELACION DE BAÑOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",Licitación Pública,39-64-SCO18,,Ajuste Alzado;,11250000.0,PLIEG-2018-47523451-APN-DAFI#PNA,PLIEG-2018-48392107-APN-DAFI#PNA,2018-10-10 8:01:00,2018-10-10 8:00:00,15,2018-10-10 8:15:00,2018-11-16 13:00:00
39-0031-LPU18,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITATÍ,39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,EE-10948,Adjudicado,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITATÍ,Licitación Pública,39-62-SCO18,,Ajuste Alzado;,11160000.0,PLIEG-2018-47523451-APN-DAFI#PNA,PLIEG-2018-49069076-APN-DAFI#PNA,2018-10-10 8:01:00,2018-10-10 8:00:00,15,2018-10-10 8:15:00,2018-11-20 13:00:00
279-0009-LPU18,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,EE-10949,Adjudicado,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,Licitación Pública,279-46-SCO18,,Ajuste Alzado;,2978800.0,PLIEG-2018-47688275-APN-DDA#PSA,,2018-10-11 8:01:00,2018-10-11 8:00:00,15,2018-10-11 8:05:00,2018-10-29 11:00:00
