id_procedimiento,procedimiento_numero,id_acta_apertura,fecha_creacion,cantidad_ofertas_confirmadas,id_oferta,id_proveedor,razon_social
11267,46/18-0254-LPU21,8588,2022-02-08T7:00:00,2,25246,11918,Marcelo Gabriel caravello
11267,46/18-0254-LPU21,8588,2022-02-08T7:00:00,2,25196,12231,OIKOS SA
11268,46-0258-LPU21,8592,2022-02-24T10:00:00,2,26256,12098,M&G Obras Civiles S.R.L.
11268,46-0258-LPU21,8592,2022-02-24T10:00:00,2,26265,12490,Villegas Construcciones SRL
11270,46/18-0261-LPU21,8590,2022-02-15T7:00:00,3,25252,12231,OIKOS SA
11270,46/18-0261-LPU21,8590,2022-02-15T7:00:00,3,25253,11918,Marcelo Gabriel caravello
11270,46/18-0261-LPU21,8590,2022-02-15T7:00:00,3,25249,11966,
11271,46-0262-LPU21,8621,2022-05-26T10:00:00,1,26362,12231,OIKOS SA
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26275,11670,CHINA GEZHOUBA GROUP COMPANY LIMITED-SUCURSAL ARGENTINA
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26279,11918,Marcelo Gabriel caravello
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26282,11650,TECNIPISOS S.A.
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26286,11584,SISTECO SRL
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26289,11734,Mateo constructora SRL
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26290,11604,Check Full Group Srl
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26292,11664,NELTEC S.R.L
11273,46-0264-LPU21,8599,2022-03-17T9:00:00,8,26293,11579,Romero Cammisa Construcciones S.A.
11274,63-0093-LPU21,8616,2022-05-12T14:00:00,4,26329,11751,INGECAT SRL
11274,63-0093-LPU21,8616,2022-05-12T14:00:00,4,26331,12036,Lihue Ingenier­a S.A
11274,63-0093-LPU21,8616,2022-05-12T14:00:00,4,26337,11998,E.V.A. S.A.
11274,63-0093-LPU21,8616,2022-05-12T14:00:00,4,26338,12127,PISCICELLI MARTIN JAVIER
11276,46/20-0277-LPU21,8575,2021-12-30T10:30:00,1,25181,11782,NAXOS KUT S.A.
11277,46/13-0285-LPU21,8585,2022-01-31T10:00:00,2,25234,12168,Roberto Orlando Cuadra
11277,46/13-0285-LPU21,8585,2022-01-31T10:00:00,2,25231,11961,SERGIO RUBEN GODOY
11280,46/13-0290-LPU21,8586,2022-01-31T11:00:00,2,25228,12231,OIKOS SA
11280,46/13-0290-LPU21,8586,2022-01-31T11:00:00,2,25218,11782,NAXOS KUT S.A.
11281,46/10-0294-LPU21,8582,2022-01-27T10:00:00,1,25195,12023,LATINOTCA.COM S.A.
11282,501-0025-LPU21,9636,2022-06-16T12:00:00,2,26332,12540,ESTRUCTURAS OESTE SA
11282,501-0025-LPU21,9636,2022-06-16T12:00:00,2,27418,11682,EMACO S.A.
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,26267,11631,TEXIMCO SA
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,26269,11729,ALQUIMAQ S.A.C.I.F.
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,25242,12115,Brian Irvine Reid
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,25247,12036,Lihue Ingenier­a S.A
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,26258,11761,Hidraulica Norte S.A
11283,34-0031-LPU21,8595,2022-02-25T12:00:00,6,26261,11730,JOSE J. CHEDIACK S.A.I.C.A.
11284,46-0297-LPU21,8598,2022-03-14T9:00:00,5,26283,11974,Prat S.R.L.
11284,46-0297-LPU21,8598,2022-03-14T9:00:00,5,26280,12292,PRADERAS CONSTRUCCIONES SA
11284,46-0297-LPU21,8598,2022-03-14T9:00:00,5,26281,13949,KARPA S.A.
11284,46-0297-LPU21,8598,2022-03-14T9:00:00,5,26274,11763,BGH SOCIEDAD ANONIMA
11284,46-0297-LPU21,8598,2022-03-14T9:00:00,5,26278,11918,Marcelo Gabriel caravello
11285,46-0298-LPU21,9635,2022-06-16T10:00:00,5,26350,11782,NAXOS KUT S.A.
11285,46-0298-LPU21,9635,2022-06-16T10:00:00,5,26353,11517,ISOLUX INGENIERIA SOCIEDAD ANONIMA
11285,46-0298-LPU21,9635,2022-06-16T10:00:00,5,27420,11865,Gonzalo Rodriguez del Pozo
11285,46-0298-LPU21,9635,2022-06-16T10:00:00,5,27422,11500,HOMAQ S.A.
11285,46-0298-LPU21,9635,2022-06-16T10:00:00,5,26359,11650,TECNIPISOS S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26266,11474,SIEMENS SA
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26262,11519,ISOLUX INGENIERIA S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26263,11493,DARIO IGNACIO BORYSIUK
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26259,11525,BTU S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26260,11810,JAN DE NUL N.V.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,26257,11581,BCC S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,25250,11650,TECNIPISOS S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,25244,11592,DEVELOPER ARGENTINA S.A.
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,25245,11865,Gonzalo Rodriguez del Pozo
11298,46-0313-LPU21,8593,2022-02-24T11:00:00,10,25211,11690,carcereny construcciones s.a.
11302,34-0032-LPU21,8619,2022-05-20T12:00:00,3,26347,13784,VIAL TEC S.A. - RICAVIAL S.A. UTE
11302,34-0032-LPU21,8619,2022-05-20T12:00:00,3,26348,20001,GRUPO INARCO PATAGONIA S.A.S
11302,34-0032-LPU21,8619,2022-05-20T12:00:00,3,26324,14362,IMBAL S.A.
11307,46/3-0325-LPU21,8591,2022-02-18T11:00:00,1,26254,12231,OIKOS SA
11310,14-0050-LPU21,8623,2022-05-27T10:00:00,2,26363,11483,DRAGADOS Y OBRAS PORTUARIAS S.A.
11310,14-0050-LPU21,8623,2022-05-27T10:00:00,2,26366,12445,NESTOR RICARDO SEITLER
11313,46-0001-LPU22,8603,2022-03-21T11:00:00,2,26270,12267,INDUVIA S.A.
11313,46-0001-LPU22,8603,2022-03-21T11:00:00,2,26296,12231,OIKOS SA
11314,46-0002-LPU22,8615,2022-05-10T10:00:00,1,26301,11581,BCC S.A.
11315,46-0004-LPU22,8611,2022-04-28T10:00:00,5,26294,11690,carcereny construcciones s.a.
11315,46-0004-LPU22,8611,2022-04-28T10:00:00,5,26325,11552,PETERSEN THIELE Y CRUZ S.A.
11315,46-0004-LPU22,8611,2022-04-28T10:00:00,5,26326,11519,ISOLUX INGENIERIA S.A.
11315,46-0004-LPU22,8611,2022-04-28T10:00:00,5,26327,11525,BTU S.A.
11315,46-0004-LPU22,8611,2022-04-28T10:00:00,5,26321,11865,Gonzalo Rodriguez del Pozo
11316,46-0005-LPU22,8600,2022-03-17T10:00:00,4,26291,11734,Mateo constructora SRL
11316,46-0005-LPU22,8600,2022-03-17T10:00:00,4,26287,11664,NELTEC S.R.L
11316,46-0005-LPU22,8600,2022-03-17T10:00:00,4,26285,11671,COEMYC S.A.
11316,46-0005-LPU22,8600,2022-03-17T10:00:00,4,26271,11579,Romero Cammisa Construcciones S.A.
11317,46-0006-LPU22,8608,2022-04-19T10:00:00,4,26307,12231,OIKOS SA
11317,46-0006-LPU22,8608,2022-04-19T10:00:00,4,26309,11918,Marcelo Gabriel caravello
11317,46-0006-LPU22,8608,2022-04-19T10:00:00,4,26313,11974,Prat S.R.L.
11317,46-0006-LPU22,8608,2022-04-19T10:00:00,4,26304,11650,TECNIPISOS S.A.
11319,46-0008-LPU22,8609,2022-04-26T10:00:00,2,26322,12231,OIKOS SA
11319,46-0008-LPU22,8609,2022-04-26T10:00:00,2,26314,12103,SERVYCOM SRL
11321,501-0001-LPU22,9797,2023-03-16T12:00:00,4,27718,11878,Nelson Oscar Pecci
11321,501-0001-LPU22,9797,2023-03-16T12:00:00,4,27809,11712,TALLER I S.R.L.
11321,501-0001-LPU22,9797,2023-03-16T12:00:00,4,27810,11466,SINOPEC INTERNATIONAL PETROLEUM SERVICE CORPORATION ARGENTINA S.R.L.
11321,501-0001-LPU22,9797,2023-03-16T12:00:00,4,27813,11586,Riorca SA
11322,501-0002-LPU22,9680,2022-09-14T12:00:00,3,27407,11609,Consultora en Ingenier­a y T?cnica Industrial S.A.
11322,501-0002-LPU22,9680,2022-09-14T12:00:00,3,27552,18044,Constructora J&J SAS
11322,501-0002-LPU22,9680,2022-09-14T12:00:00,3,27553,19971,VICTOR FELIX RAFAEL ZALAZAR
11323,46/13-0014-LPU22,8597,2022-03-09T11:00:00,4,26272,12231,OIKOS SA
11323,46/13-0014-LPU22,8597,2022-03-09T11:00:00,4,26276,11961,SERGIO RUBEN GODOY
